step,input_c,buffer_c,entropy,is_decoherent
273,0.6314,0.6947,3.7908,0
274,0.7161,0.6958,3.7887,0
275,0.6969,0.6958,3.7901,0
276,0.7250,0.6973,3.7916,0
277,0.6733,0.6961,3.7917,0
278,0.7610,0.6993,3.7937,0
279,0.6562,0.6972,3.7876,0
280,0.7856,0.7016,3.7887,0
281,0.6126,0.6972,3.7897,0
282,0.7217,0.6984,3.7880,0
283,0.7238,0.6997,3.7902,0
284,0.6602,0.6977,3.7894,0
285,0.7212,0.6989,3.7887,0
286,0.7640,0.7021,3.7897,0
287,0.5892,0.6965,3.7892,0
288,0.7251,0.6979,3.7898,0
289,0.5753,0.6918,3.7914,0
290,0.6517,0.6898,3.7899,0
291,0.7815,0.6944,3.7901,0
292,0.6709,0.6932,3.7895,0
293,0.6413,0.6906,3.7883,0
294,0.6901,0.6906,3.7895,0
295,0.8034,0.6962,3.7871,0
296,0.6084,0.6918,3.7920,0
297,0.6474,0.6896,3.7922,0
298,0.7749,0.6939,3.7919,0
299,0.7929,0.6988,3.7913,0
